CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310437821	1	89.85326	1	5	10	2	3	0
201310437821	2	89.85326	1	5	10	2	3	0
201310437822	1	89.85326	1	5	10	2	3	0
201310437822	2	89.85326	1	5	10	2	3	0
201310437822	3	89.85326	1	5	10	2	3	0
201310437822	4	89.85326	1	5	10	2	3	0
201310437823	1	89.85326	1	2	10	2	3	0
201310437823	2	89.85326	1	2	10	2	3	0
201310437844	1	352.898	1	4	3	2	3	0
201310437844	2	352.898	1	4	3	2	3	0
201310437844	3	352.898	1	4	3	2	3	0
201310437853	1	217.168	1	6	3	2	3	0
201310437861	1	352.898	1	4	3	2	3	0
201310437861	2	352.898	1	4	3	2	3	0
201310437872	1	359.41304	1	4	10	2	3	0
201310437872	2	359.41304	1	4	10	2	3	0
201310437887	1	217.168	1	6	2	2	3	0
201310437887	2	217.168	1	6	2	2	3	0
201310437890	1	27.146	1	3	2	2	3	0
201310437896	1	215.54684	1	6	4	2	3	0
201310437896	2	215.54684	1	6	4	2	3	2
201310437897	1	53.88671	1	1	4	2	3	0
201310437897	2	53.88671	1	1	4	2	3	0
201310437906	1	344.962135	1	4	6	2	3	0
201310437906	2	344.962135	1	4	6	2	3	0
201310437911	1	49.280305	1	1	6	2	3	0
201310437911	2	49.280305	1	1	6	2	3	0
201310437913	1	197.12122	1	6	6	2	3	0
201310437918	1	344.962135	1	4	6	2	3	0
201310437918	2	344.962135	1	4	6	2	3	0
201310437920	1	98.56061	1	5	6	2	3	0
201310437926	1	197.12122	1	6	6	2	3	0
201310437926	2	197.12122	1	6	6	2	3	0
201310437928	1	345.142386	1	4	9	2	3	0
201310437928	2	345.142386	1	4	9	2	3	0
201310437929	1	230.094924	1	6	9	2	3	0
201310437936	1	230.094924	1	6	9	2	3	1
201310437942	1	230.094924	1	6	9	2	3	0
201310437942	2	230.094924	1	6	9	2	3	0
201310437943	1	115.047462	1	5	9	2	3	0
201310437946	1	345.142386	1	4	9	2	3	0
201310437946	2	345.142386	1	4	9	2	3	0
201310437949	1	115.047462	1	5	9	2	3	0
201310437949	2	115.047462	1	5	9	2	3	0
201310437955	1	345.142386	1	4	9	2	3	0
201310437955	2	345.142386	1	4	9	2	3	0
201310437957	1	115.047462	1	5	9	2	3	0
201310437959	1	359.41304	1	4	10	2	3	0
201310437959	2	359.41304	1	4	10	2	3	0
201310437962	1	179.70652	1	6	10	2	3	0
201310437962	2	179.70652	1	6	10	2	3	0
201310437963	1	89.85326	1	5	10	2	3	0
201310437963	2	89.85326	1	5	10	2	3	0
201310437963	3	89.85326	1	5	10	2	3	0
201310437963	4	89.85326	1	5	10	2	3	0
201310437963	5	89.85326	1	5	10	2	3	0
201310437990	1	81.438	1	5	3	2	3	0
201310437990	2	81.438	1	5	3	2	3	0
201310437994	1	352.898	1	4	3	2	3	0
201310437999	1	54.292	1	2	3	2	3	0
201310437999	2	54.292	1	2	3	2	3	0
201310438005	1	323.32026	1	4	4	2	3	0
201310438009	1	215.54684	1	6	4	2	3	0
201310438009	2	215.54684	1	6	4	2	3	0
201310438014	1	107.77342	1	5	4	2	3	0
201310438016	1	323.32026	1	4	4	2	3	0
201310438023	1	179.70652	1	6	10	2	3	0
201310438023	2	179.70652	1	6	10	2	3	0
201310438023	3	179.70652	1	6	10	2	3	0
201310438024	2	359.41304	1	4	10	2	3	0
201310438048	1	27.146	1	3	2	2	3	0
201310438050	1	27.146	1	1	3	2	3	0
201310438059	1	217.168	1	6	3	2	3	0
201310438059	2	217.168	1	6	3	2	3	0
201310438060	1	352.898	1	4	3	2	3	0
201310438060	2	352.898	1	4	3	2	3	0
201310438064	1	81.438	1	5	3	2	3	0
201310438074	1	49.280305	1	1	6	2	3	0
201310438074	2	49.280305	1	1	6	2	3	0
201310438075	2	344.962135	1	4	6	2	3	0
201310438077	1	49.280305	1	1	6	2	3	99
201310438081	1	49.280305	1	1	6	2	3	99
201310438081	2	49.280305	1	1	6	2	3	0
201310438081	3	49.280305	1	1	6	2	3	99
201310438082	1	197.12122	1	6	6	2	3	2
201310438082	2	197.12122	1	6	6	2	3	0
201310438082	3	197.12122	1	6	6	2	3	0
201310438088	1	344.962135	1	4	6	2	3	0
201310438091	1	98.56061	1	5	6	2	3	0
201310438094	1	49.280305	1	3	6	2	3	0
201310438102	1	359.41304	1	4	10	2	3	0
201310438102	2	359.41304	1	4	10	2	3	0
201310438103	1	179.70652	1	6	10	2	3	0
201310438133	1	27.146	1	3	1	2	3	0
201310438139	1	27.146	1	1	1	2	3	0
201310438141	1	27.146	1	3	1	2	3	0
201310438141	2	27.146	1	3	1	2	3	0
201310438143	1	352.898	1	4	1	2	3	0
201310438146	1	27.146	1	3	1	2	3	0
201310438150	1	81.438	1	5	1	2	3	0
201310438153	1	27.146	1	3	1	2	3	0
201310438155	1	217.168	1	6	1	2	3	0
201310438155	2	217.168	1	6	1	2	3	0
201310438168	1	53.88671	1	1	4	2	3	99
201310438172	1	323.32026	1	4	4	2	3	0
201310438172	2	323.32026	1	4	4	2	3	0
201310438180	1	98.56061	1	5	6	2	3	0
201310438180	2	98.56061	1	5	6	2	3	0
201310438181	1	344.962135	1	4	6	2	3	0
201310438181	2	344.962135	1	4	6	2	3	0
201310438183	1	49.280305	1	1	6	2	3	0
201310438185	1	197.12122	1	6	6	2	3	0
201310438189	1	319.934883	1	4	16	2	3	0
201310438189	2	319.934883	1	4	16	2	3	0
201310438190	1	213.289922	1	6	16	2	3	0
201310438206	1	352.898	1	4	2	2	3	0
201310438211	1	81.438	1	5	2	2	3	0
201310438211	2	81.438	1	5	2	2	3	0
201310438218	1	81.438	1	5	3	2	3	0
201310438220	1	352.898	1	4	3	2	3	0
201310438220	2	352.898	1	4	3	2	3	0
201310438225	1	215.54684	1	6	4	2	3	0
201310438235	1	98.56061	1	5	6	2	3	0
201310438235	2	98.56061	1	5	6	2	3	0
201310438238	1	344.962135	1	4	6	2	3	0
201310438238	2	344.962135	1	4	6	2	3	0
201310438240	1	57.523731	1	3	9	2	3	0
201310438240	2	57.523731	1	3	9	2	3	0
201310438245	1	230.094924	1	6	9	2	3	0
201310438245	2	230.094924	1	6	9	2	3	0
201310438251	1	345.142386	1	4	9	2	3	0
