MDRMANAV	REGION	STRATUM	CASENUM	WEIGHT	PJ	PSU	VEHNO
98	1	3	201010427348	27.146	3	2	2
4	1	6	201010427351	107.773	4	2	1
98	1	6	201010427354	107.773	4	2	1
0	1	6	201010427354	107.773	4	2	2
0	1	6	201010427354	107.773	4	2	3
98	1	6	201010427357	107.773	4	2	1
98	1	6	201010427357	107.773	4	2	2
98	1	4	201010427375	298.606	1	2	1
98	1	4	201010427378	298.606	3	2	1
0	1	4	201010427378	298.606	3	2	2
98	1	5	201010427380	54.292	3	2	1
98	1	5	201010427380	54.292	3	2	2
98	1	6	201010427384	135.73	3	2	1
98	1	6	201010427384	135.73	3	2	2
98	1	6	201010427407	135.73	1	2	1
0	1	5	201010427409	89.853	10	2	1
0	1	6	201010427411	89.853	10	2	1
98	1	6	201010427411	89.853	10	2	2
98	1	5	201010427415	89.853	10	2	1
0	1	4	201010427416	269.56	10	2	1
0	1	4	201010427416	269.56	10	2	2
98	1	6	201010427417	89.853	10	2	1
98	1	5	201010427419	54.292	3	2	1
98	1	4	201010427423	298.606	3	2	1
0	1	4	201010427423	298.606	3	2	2
98	1	4	201010427430	269.434	4	2	1
0	1	4	201010427430	269.434	4	2	2
98	1	6	201010427432	107.773	4	2	1
0	1	6	201010427432	107.773	4	2	2
98	1	3	201010427433	53.887	4	2	1
0	1	5	201010427434	53.887	4	2	1
98	1	5	201010427434	53.887	4	2	2
0	1	3	201010427446	27.146	3	2	1
0	1	3	201010427446	27.146	3	2	2
3	1	4	201010427453	298.606	3	2	1
98	1	4	201010427456	287.619	9	2	1
0	1	6	201010427457	89.853	10	2	1
98	1	6	201010427457	89.853	10	2	2
0	1	6	201010427459	115.047	9	2	1
0	1	6	201010427459	115.047	9	2	2
98	1	6	201010427461	89.853	10	2	1
98	1	6	201010427461	89.853	10	2	2
98	1	6	201010427466	115.047	9	2	1
98	1	4	201010427469	269.434	4	2	1
98	1	4	201010427469	269.434	4	2	2
99	1	6	201010427471	115.047	9	2	1
98	1	6	201010427473	107.773	4	2	1
98	1	4	201010427474	287.619	9	2	1
0	1	4	201010427474	287.619	9	2	2
98	1	5	201010427484	54.292	1	2	1
98	1	5	201010427484	54.292	1	2	2
3	1	6	201010427495	89.853	10	2	1
0	1	4	201010427496	269.56	10	2	1
