REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PIMPACT2	PV_CONFIG	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT1	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	5	14	4	0	0	0	0	7	2	0	0	0	0	1	0	1	0	26	0	2MEFM75W11X6	2001	201011172288	54.273	000000000	0	26	6	6	0	0	7	4	1
1	4	41	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	29	0	JM1BK12F3615	2006	201011172589	300.07	000000000	0	29	3	51	0	0	7	4	1
1	5	20	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	1G1JC5245T72	1996	201011173036	59.362	000000000	0	26	11	16	0	0	7	4	1
1	5	63	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	32	0	KNADC1237160	2001	201011173163	52.186	000000000	0	32	2	33	0	0	7	4	1
1	6	49	4	0	0	0	0	7	2	0	0	0	0	1	0	1	0	26	0	4T1GB10E0SU0	1995	201011173250	118.723	000000000	0	26	11	43	0	0	7	4	1
1	5	34	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	WBAEW53444PN	2004	201011173283	52.186	000000000	0	32	1	34	0	0	97	4	1
1	5	37	2	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	2HGFG12688H5	2008	201011173283	52.186	000000000	0	26	1	31	0	0	97	4	2
1	5	20	40	0	0	0	0	6	2	0	0	0	0	1	0	1	0	32	0	1GBJC34U94E3	2004	201011173481	54.273	000000000	0	32	6	498	0	0	7	4	1
1	4	37	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	1HGCB767XNA1	1992	201011173514	300.07	000000000	0	26	2	32	0	0	7	4	1
1	4	55	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	62	0	KMHDN46D85U1	2005	201011173539	296.808	000000000	0	62	11	35	0	0	7	4	1
1	4	12	14	0	0	0	0	7	4	0	0	0	0	1	0	1	0	30	0	1FMZU74W53ZB	2003	201011173558	305.288	000000000	0	30	7	401	0	0	5	4	1
1	4	6	20	0	0	0	0	7	4	0	0	0	0	1	0	1	0	23	0	2A8GP64L47R3	2007	201011173558	305.288	000000000	0	23	7	441	0	0	5	4	2
1	4	20	30	0	0	0	0	7	4	0	0	0	0	1	0	1	0	32	0	1GCCS14X4381	2003	201011173908	296.808	000000000	0	32	11	471	0	0	7	4	1
1	4	24	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	1G8AG52F14Z1	2004	201011174156	300.07	000000000	0	26	1	7	0	0	5	4	1
1	4	55	4	0	0	0	0	4	4	0	0	0	0	1	0	1	0	61	0	KMHDN45D12U3	2002	201011174274	243.187	000000000	0	61	17	35	0	0	7	4	1
1	4	35	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	1N4DL01D8XC2	1999	201011174365	298.504	000000000	0	30	6	47	0	0	7	4	1
1	4	53	4	0	0	0	0	7	4	0	0	0	0	1	0	1	0	31	0	KL5JD56Z76K3	2006	201011174385	298.504	000000000	0	31	6	37	0	0	7	4	1
1	4	20	4	0	0	0	0	6	2	0	0	0	0	1	0	1	0	62	0	2G1WF55K0292	2002	201011174419	243.187	000000000	0	62	17	2	0	0	7	4	1
1	6	37	4	0	0	0	0	6	2	0	0	0	0	1	0	1	0	31	0	1HGCM56867A0	2007	201011174481	130.465	000000000	0	31	3	32	0	0	7	4	1
1	2	7	30	0	0	0	0	7	4	0	0	0	0	1	0	1	0	26	0	1B7GG32X22S5	2002	201011175001	13.047	000000000	0	26	3	472	0	0	7	4	1
1	2	12	61	0	0	1	0	7	4	0	1	0	0	1	0	1	0	26	4	1FCLE49L68DA	2008	201011175001	13.047	999999997	0	26	3	884	0	0	7	4	2
