REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	6	13	4	0	0	0	0	6	2	0	0	0	0	1	0	1	0	1LNLM83W0NY6	1992	200911161365	118.723	000000000	0	12	11	1	0	0	5	4	1
1	6	54	3	0	0	0	0	9	9	0	0	0	0	1	0	1	0	JH4DC44511S0	2001	200911162136	143.512	000000000	0	3	1	31	0	0	6	4	1
1	6	12	31	0	0	0	0	9	4	0	0	0	0	1	0	1	0	1FTHX26F0VED	1997	200911162201	121.593	000000000	0	4	17	481	0	0	7	4	1
1	4	55	2	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KMHHM65D83U0	2003	200911162223	296.808	000000000	0	3	11	37	0	0	6	4	1
1	1	12	14	0	0	0	0	6	2	0	0	0	0	1	0	1	0	1FMEU74E36ZA	2006	200911162663	13.047	000000000	0	1	1	401	0	0	7	4	1
1	4	21	4	0	0	0	0	9	4	0	0	0	0	1	0	1	0	2G3AL54N8M23	1991	200911162960	296.808	000000000	0	4	11	20	0	0	7	4	1
1	4	49	2	0	0	0	0	9	4	0	0	0	0	1	0	1	0	JT2AC52L4T01	1996	200911162990	298.504	000000000	0	14	6	38	0	0	7	4	1
1	5	20	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	1G1ND52J13M7	2003	200911163045	67.842	000000000	0	14	7	37	0	0	7	4	1
1	4	24	4	0	0	0	0	9	4	0	0	0	0	1	0	1	0	1G8JS54F12Y5	2002	200911163232	298.504	000000000	0	3	6	5	0	0	6	4	1
1	4	24	4	0	0	0	0	9	4	0	0	0	0	1	0	1	0	1G8ZK5279WZ1	1998	200911163504	313.116	000000000	0	3	2	1	0	0	7	4	1
1	4	21	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1G3NL52E61C1	2001	200911163643	313.116	000000000	0	14	1	24	0	0	7	4	1
1	3	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T1BE46K98U2	2008	200911163773	121.593	000000000	0	3	17	40	0	0	7	4	1
1	3	23	31	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1GTHK23U27F1	2007	200911163773	121.593	000000000	0	3	17	481	0	0	7	4	2
1	4	2	14	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1J4GA39107L1	2007	200911164050	313.116	000000000	0	1	1	401	0	0	6	4	1
1	5	55	4	0	0	0	0	9	4	0	0	0	0	1	0	1	0	KMHCG45C63U4	2003	200911165035	67.842	000000000	0	3	7	36	0	0	5	4	1
