OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
2	4	200910423128	323.32	4	1	1	1	4	2	1	1
2	4	200910423130	298.606	5	1	3	1	3	2	1	1
140	5	200910423140	49.28	3	1	3	98	6	2	1	1
2	5	200910423141	49.28	4	1	1	4	6	2	1	1
3	5	200910423141	49.28	4	2	1	4	6	2	1	2
138	4	200910423142	295.682	3	1	6	98	6	2	1	1
135	3	200910423143	49.28	3	1	3	98	6	2	1	1
138	3	200910423143	49.28	3	2	99	98	6	2	1	1
128	3	200910423143	49.28	2	3	99	98	6	2	1	1
145	5	200910423144	49.28	3	1	2	98	6	2	1	1
145	5	200910423144	49.28	3	2	3	98	6	2	1	1
101	5	200910423144	49.28	1	3	0	98	6	2	1	1
137	5	200910423146	49.28	3	1	1	98	6	2	1	1
2	4	200910423159	298.606	4	1	1	4	3	2	1	1
2	4	200910423163	295.682	4	1	1	3	6	2	1	1
2	6	200910423165	147.841	5	1	4	1	6	2	1	1
2	5	200910423170	49.28	5	1	4	1	6	2	1	1
3	5	200910423170	49.28	4	2	99	2	6	2	1	2
2	4	200910423174	269.56	5	1	4	1	10	2	1	1
121	3	200910423177	53.887	2	1	1	98	4	2	1	1
137	6	200910423178	161.66	3	1	1	98	4	2	1	1
136	1	200910423179	53.887	3	1	1	98	4	2	1	1
137	1	200910423179	53.887	3	2	1	98	4	2	1	1
132	1	200910423179	53.887	3	3	1	98	4	2	1	1
145	5	200910423180	53.887	3	1	1	98	4	2	1	1
138	5	200910423189	81.438	3	1	1	98	2	2	1	1
158	5	200910423189	81.438	3	2	99	98	2	2	1	1
134	2	200910423194	27.146	3	1	1	98	2	2	1	1
140	2	200910423198	27.146	3	1	1	98	1	2	1	1
140	2	200910423198	27.146	3	2	1	98	1	2	1	1
101	2	200910423198	27.146	1	3	0	98	1	2	1	1
2	6	200910423202	135.73	4	1	1	1	3	2	1	1
2	6	200910423202	135.73	4	2	2	3	3	2	1	1
2	1	200910423210	49.28	4	1	1	1	6	2	1	1
101	1	200910423210	49.28	1	2	0	98	6	2	1	2
2	6	200910423211	147.841	5	1	3	1	6	2	1	1
135	4	200910423217	295.682	3	1	1	98	6	2	1	1
138	1	200910423218	49.28	3	1	1	98	6	2	1	1
101	1	200910423218	49.28	1	2	0	98	6	2	1	1
141	1	200910423218	49.28	3	3	99	98	6	2	1	1
141	1	200910423218	49.28	3	4	99	98	6	2	1	1
2	2	200910423219	49.28	4	1	1	3	6	2	1	1
2	6	200910423222	179.707	5	1	4	1	10	2	1	1
126	6	200910423222	179.707	2	2	15	98	10	2	1	1
2	4	200910423224	269.56	5	1	3	1	10	2	1	1
137	6	200910423227	115.047	3	1	1	98	9	2	1	1
138	6	200910423227	115.047	3	2	99	98	9	2	1	1
135	5	200910423229	57.524	3	1	1	98	9	2	1	1
145	5	200910423229	57.524	3	2	2	98	9	2	1	1
145	5	200910423229	57.524	3	3	99	98	9	2	1	1
2	4	200910423230	269.56	4	1	2	3	10	2	1	1
141	6	200910423232	115.047	3	1	1	98	9	2	1	1
2	6	200910423235	115.047	4	1	1	4	9	2	1	1
2	6	200910423238	115.047	5	1	2	1	9	2	1	1
137	6	200910423238	115.047	3	2	99	98	9	2	1	1
124	4	200910423240	287.619	2	1	1	98	9	2	1	1
145	6	200910423244	115.047	3	1	1	98	9	2	1	1
145	5	200910423245	57.524	3	1	1	98	9	2	1	1
122	3	200910423248	57.524	2	1	1	98	9	2	1	1
2	6	200910423249	115.047	4	1	1	1	9	2	1	1
3	6	200910423249	115.047	4	2	3	1	9	2	1	2
124	4	200910423250	287.619	2	1	1	98	9	2	1	1
158	4	200910423273	323.32	3	1	4	98	4	2	1	1
126	4	200910423273	323.32	2	2	4	98	4	2	1	1
2	6	200910423274	161.66	4	1	1	3	4	2	1	1
145	6	200910423280	161.66	3	1	1	98	4	2	1	1
145	6	200910423280	161.66	3	2	99	98	4	2	1	1
145	6	200910423280	161.66	3	3	99	98	4	2	1	1
2	5	200910423294	89.853	4	1	1	4	10	2	1	1
2	4	200910423295	269.56	5	1	3	4	10	2	1	1
2	6	200910423298	135.73	5	1	3	1	1	2	1	1
126	4	200910423300	298.606	2	1	15	98	1	2	1	1
