MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
0	2	6	200914737679	155.867	1	2	13
0	2	3	200914737721	38.967	1	2	13
0	2	3	200914737721	38.967	2	2	13
29	2	3	200914737820	38.967	1	2	13
98	2	5	200914738227	77.933	1	1	13
98	1	3	200914834853	18.566	1	5	21
7	1	3	200914835224	18.566	1	5	21
98	1	3	200914835224	18.566	1	5	21
27	1	3	200914835296	26.365	1	31	21
0	1	3	200914835994	18.566	1	5	21
7	1	3	200914836326	18.566	1	5	21
8	1	3	200914836326	18.566	1	5	21
0	1	3	200914836449	18.566	1	5	21
5	1	3	200914836462	17.578	1	11	21
7	1	3	200914836462	17.578	1	11	21
0	1	3	200914836578	14.341	1	16	21
21	1	3	200914836621	18.566	1	5	21
0	1	3	200914837190	18.566	1	5	21
0	1	3	200914837544	18.566	1	5	21
0	1	3	200914837544	18.566	2	5	21
0	2	3	200914960131	22.27	1	12	33
98	2	3	200914960159	22.27	1	12	33
7	2	3	200914960910	22.772	1	16	33
10	2	3	200914962039	18.905	1	2	10
22	2	3	200914962184	18.905	1	3	10
0	2	3	200914962408	13.597	1	15	10
0	2	3	200914962692	22.772	1	16	33
0	2	2	200914963327	2.701	1	3	10
0	3	3	200915440245	20.054	1	1	41
0	3	3	200915440254	20.054	1	1	41
0	3	3	200915440372	20.054	1	1	41
0	3	3	200915440522	20.054	1	1	41
22	3	3	200915440542	20.054	1	2	41
0	3	3	200915440702	20.054	1	1	41
21	3	3	200915440810	20.054	1	2	41
8	3	3	200915440874	20.054	1	1	41
98	3	3	200915440881	20.054	1	1	41
0	3	3	200915440901	20.054	1	1	41
0	3	3	200915440907	20.054	1	1	41
0	3	3	200915440954	20.054	1	1	41
0	3	3	200915440954	20.054	2	1	41
21	3	3	200915441023	20.054	1	2	41
0	3	3	200915441160	20.054	1	1	41
0	3	3	200915441245	20.054	1	1	41
0	3	3	200915441399	20.054	1	1	41
21	3	3	200915441406	20.054	1	1	41
0	3	3	200915441420	20.054	1	1	41
22	3	6	200915441428	140.375	1	1	41
7	3	3	200915441462	20.054	1	1	41
7	3	3	200915441503	20.054	1	1	41
98	3	3	200915441503	20.054	1	1	41
21	3	3	200915441548	20.054	1	1	41
22	3	3	200915441555	20.054	1	1	41
7	3	3	200915441584	20.054	1	1	41
22	3	3	200915441643	20.054	1	1	41
22	3	3	200915441643	20.054	2	1	41
29	3	3	200915441703	20.054	1	1	41
29	3	2	200915441710	10.027	1	1	41
0	3	3	200915441924	20.054	1	1	41
0	3	4	200915441952	310.831	1	1	41
9	3	3	200915441995	20.054	1	1	41
0	3	1	200915442007	10.027	1	3	41
0	3	1	200915442007	10.027	2	3	41
0	3	1	200915442007	10.027	3	3	41
0	3	1	200915442007	10.027	4	3	41
0	3	3	200915442056	20.054	1	2	41
21	3	3	200915442256	20.054	1	1	41
22	3	3	200915442283	20.054	1	1	41
10	3	3	200915442415	20.054	1	1	41
0	3	4	200915442456	310.831	1	1	41
0	3	3	200915442529	20.054	1	1	41
0	3	3	200915442603	20.054	1	1	41
9	3	3	200915442778	20.054	1	1	41
7	3	3	200915442794	20.054	1	1	41
7	3	3	200915442804	20.054	1	1	41
0	3	3	200915442841	20.054	1	2	41
0	3	4	200915442971	310.831	1	1	41
0	3	3	200915442980	20.054	1	1	41
22	3	3	200915443282	20.054	1	1	41
21	3	4	200915443287	310.831	1	1	41
22	3	3	200915443318	20.054	1	1	41
98	3	3	200915443441	20.054	1	1	41
27	3	3	200915443471	20.054	1	1	41
0	3	3	200915443512	20.054	1	1	41
0	3	3	200915443519	20.054	1	1	41
27	3	3	200915443569	20.054	1	2	41
98	3	3	200915443779	20.054	1	2	41
22	3	3	200915443835	20.054	1	3	41
98	3	3	200915443881	20.054	1	1	41
22	3	3	200915443897	20.054	1	1	41
1	3	3	200915444054	20.054	1	2	41
2	3	3	200915444054	20.054	1	2	41
5	3	3	200915444054	20.054	1	2	41
7	3	3	200915444054	20.054	1	2	41
0	3	6	200915444089	140.375	1	3	41
22	3	3	200915444164	20.054	1	1	41
5	3	3	200915444375	20.054	1	1	41
21	3	6	200915444513	140.375	1	1	41
0	3	3	200915444570	20.054	1	1	41
0	3	3	200915444644	20.054	1	2	41
29	3	3	200915444648	20.054	1	2	41
0	3	3	200915444681	20.054	1	1	41
0	3	3	200915444724	20.054	1	1	41
29	3	3	200915444739	20.054	1	2	41
8	3	3	200915444809	20.054	1	1	41
22	3	3	200915444823	20.054	1	1	41
0	3	3	200915444927	20.054	1	1	41
