CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MVIOLATN
201110430022	1	246.401525	1	4	6	2	3	0
201110430022	2	246.401525	1	4	6	2	3	0
201110430024	1	98.56061	1	6	6	2	3	0
201110430027	1	49.280305	1	1	6	2	3	23
201110430028	1	49.280305	1	5	6	2	3	71
201110430028	2	49.280305	1	5	6	2	3	46
201110430031	1	230.094924	1	4	9	2	3	0
201110430031	2	230.094924	1	4	9	2	3	0
201110430031	3	230.094924	1	4	9	2	3	0
201110430031	4	230.094924	1	4	9	2	3	0
201110430034	1	57.523731	1	2	9	2	3	0
201110430034	2	57.523731	1	2	9	2	3	0
201110430035	1	115.047462	1	6	9	2	3	98
201110430039	1	269.55978	1	4	10	2	3	0
201110430039	2	269.55978	1	4	10	2	3	0
201110430042	1	230.094924	1	4	9	2	3	0
201110430042	2	230.094924	1	4	9	2	3	0
201110430044	1	57.523731	1	5	9	2	3	0
201110430044	2	57.523731	1	5	9	2	3	0
201110430047	1	57.523731	1	5	9	2	3	9
201110430047	1	57.523731	1	5	9	2	3	19
201110430047	1	57.523731	1	5	9	2	3	52
201110430048	1	215.54684	1	4	4	2	3	0
201110430050	1	115.047462	1	6	9	2	3	0
201110430051	1	57.523731	1	5	9	2	3	11
201110430051	1	57.523731	1	5	9	2	3	52
201110430051	2	57.523731	1	5	9	2	3	0
201110430055	1	230.094924	1	4	9	2	3	0
201110430055	2	230.094924	1	4	9	2	3	0
201110430059	1	230.094924	1	4	9	2	3	0
201110430060	1	115.047462	1	6	9	2	3	23
201110430060	1	115.047462	1	6	9	2	3	89
201110430064	1	57.523731	1	1	9	2	3	52
201110430064	1	57.523731	1	1	9	2	3	69
201110430065	1	230.094924	1	4	9	2	3	0
201110430065	2	230.094924	1	4	9	2	3	0
201110430071	1	213.289922	1	4	16	2	3	0
201110430071	2	213.289922	1	4	16	2	3	0
201110430072	1	106.644961	1	6	16	2	3	0
201110430074	1	106.644961	1	6	16	2	3	0
201110430075	1	213.289922	1	4	16	2	3	0
201110430075	2	213.289922	1	4	16	2	3	71
201110430076	1	106.644961	1	6	16	2	3	0
201110430077	1	106.644961	1	6	16	2	3	0
201110430078	1	106.644961	1	6	16	2	3	0
201110430079	1	106.644961	1	6	16	2	3	0
201110430079	2	106.644961	1	6	16	2	3	0
201110430081	1	106.644961	1	6	16	2	3	12
201110430081	1	106.644961	1	6	16	2	3	19
201110430082	1	213.289922	1	4	16	2	3	0
201110430082	2	213.289922	1	4	16	2	3	0
201110430083	1	106.644961	1	6	16	2	3	0
201110430084	1	106.644961	1	6	16	2	3	0
201110430085	1	106.644961	1	6	16	2	3	0
201110430086	1	106.644961	1	6	16	2	3	0
201110430111	1	246.401525	1	4	6	2	3	0
201110430111	2	246.401525	1	4	6	2	3	0
201110430113	1	49.280305	1	5	6	2	3	0
201110430113	2	49.280305	1	5	6	2	3	0
201110430118	1	27.146	1	2	3	2	3	0
201110430118	2	27.146	1	2	3	2	3	0
201110430121	1	217.168	1	4	3	2	3	0
201110430121	2	217.168	1	4	3	2	3	0
201110430144	1	108.584	1	6	1	2	3	0
201110430145	1	217.168	1	4	1	2	3	0
201110430146	1	54.292	1	5	1	2	3	46
201110430146	2	54.292	1	5	1	2	3	0
201110430147	1	27.146	1	1	1	2	3	7
201110430147	1	27.146	1	1	1	2	3	23
201110430147	1	27.146	1	1	1	2	3	69
201110430148	1	27.146	1	1	1	2	3	0
201110430151	1	27.146	1	2	3	2	3	0
201110430151	2	27.146	1	2	3	2	3	0
201110430155	1	108.584	1	6	3	2	3	0
201110430155	2	108.584	1	6	3	2	3	0
201110430157	1	217.168	1	4	3	2	3	0
201110430157	2	217.168	1	4	3	2	3	0
201110430160	1	108.584	1	6	2	2	3	11
201110430160	1	108.584	1	6	2	2	3	69
201110430164	1	98.56061	1	6	6	2	3	52
201110430164	1	98.56061	1	6	6	2	3	72
201110430164	1	98.56061	1	6	6	2	3	79
201110430167	1	89.85326	1	6	10	2	3	0
201110430168	1	89.85326	1	6	10	2	3	11
201110430169	1	89.85326	1	6	10	2	3	0
201110430169	2	89.85326	1	6	10	2	3	0
201110430174	1	215.54684	1	4	4	2	3	0
201110430174	2	215.54684	1	4	4	2	3	49
201110430180	1	53.88671	1	2	4	2	3	0
201110430180	2	53.88671	1	2	4	2	3	0
201110430191	1	108.584	1	6	1	2	3	0
201110430202	1	54.292	1	5	3	2	3	58
201110430202	2	54.292	1	5	3	2	3	0
201110430225	1	217.168	1	4	3	2	3	0
201110430225	2	217.168	1	4	3	2	3	0
201110430228	1	54.292	1	5	3	2	3	0
201110430231	1	246.401525	1	4	6	2	3	0
201110430231	2	246.401525	1	4	6	2	3	0
201110430235	1	49.280305	1	1	6	2	3	0
201110430238	1	246.401525	1	4	6	2	3	0
201110430239	1	269.55978	1	4	10	2	3	0
201110430239	2	269.55978	1	4	10	2	3	0
201110430240	1	89.85326	1	6	10	2	3	0
201110430240	2	89.85326	1	6	10	2	3	0
201110430243	1	269.55978	1	4	10	2	3	0
