CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201112418681	0	1	12.846537	1	3	2	8	2	8
201112418688	0	1	12.846537	1	3	2	8	2	1
201112418711	0	1	58.585786	1	3	47	8	2	1
201112418782	0	1	224.936998	1	4	5	8	2	1
201112801346	0	1	19.0507	2	3	2	11	6	1
201112801388	0	1	228.6084	2	4	2	11	6	1
201113043722	0	1	100.7475	3	6	5	9	8	1
201113043847	0	1	14.3925	3	3	3	9	8	1
201113044174	0	1	14.3925	3	3	5	9	8	1
201113044672	0	1	15.753646	3	3	8	9	8	8
201113044699	0	1	24.29502	3	3	13	9	8	1
201113044744	0	1	14.3925	3	3	4	9	8	1
201113044890	0	1	216.323496	3	4	16	9	8	8
201113045340	0	1	14.3925	3	3	5	9	8	1
201113045965	0	1	14.3925	3	3	7	9	8	1
201113046114	0	1	27.040437	3	3	16	9	8	1
201113046159	0	1	14.3925	3	3	3	9	8	1
201113046416	0	1	14.3925	3	3	5	9	8	1
201113046798	0	1	14.3925	3	3	5	9	8	1
201113047392	0	1	14.3925	3	3	3	9	8	1
201113047438	0	1	14.3925	3	3	5	9	8	1
201113047462	0	1	14.3925	3	3	5	9	8	1
201113047545	0	1	218.65518	3	4	13	9	8	1
201113047552	0	1	14.3925	3	3	2	9	8	1
201113047598	0	1	14.3925	3	3	5	9	8	1
201113047989	0	1	14.3925	3	3	3	9	8	8
201113048044	0	1	225.4825	3	4	4	9	8	1
201113048289	0	1	24.29502	3	3	13	9	8	1
201113048601	0	1	225.4825	3	4	5	9	8	1
201113048636	0	1	14.3925	3	3	3	9	8	1
201113048906	0	1	14.3925	3	3	3	9	8	8
201113049040	0	1	15.753646	3	3	8	9	8	1
201113049042	0	1	15.753646	3	3	8	9	8	1
201113049049	0	1	27.040437	3	3	16	9	8	1
201113049053	0	1	14.3925	3	3	4	9	8	1
201113049250	0	1	14.3925	3	3	5	9	8	1
201113049856	0	1	24.29502	3	3	13	9	8	1
201113049868	0	1	15.753646	3	3	8	9	8	1
201113049986	0	1	14.3925	3	3	7	9	8	2
201113050115	0	1	14.3925	3	3	3	9	8	1
201113050468	0	1	14.3925	3	3	5	9	8	1
201113050829	0	1	14.3925	3	3	1	9	8	2
201113050884	0	1	4.7975	3	2	3	9	8	1
201113050909	0	1	14.3925	3	3	4	9	8	1
201113051717	0	1	14.3925	3	3	4	9	8	1
201113051823	0	1	218.65518	3	4	13	9	8	1
201113051968	0	1	14.3925	3	3	3	9	8	1
201113052010	0	1	14.3925	3	3	7	9	8	2
201113052145	0	1	14.3925	3	3	4	9	8	8
201113052216	0	1	14.3925	3	3	7	9	8	1
201113052359	0	1	14.3925	3	3	5	9	8	1
201113052426	0	1	14.3925	3	3	3	9	8	1
201113052985	0	1	14.3925	3	3	1	9	8	8
