CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PIMPACT2	PVEH_SEV	PTOWED	PM_HARM	PFIRE
201110702588	4	5.078716	1	2	3	3	1	3	0	3	10	0	12	1	3	0	35	39	4	1996	JN1CA21D8TM4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	61	61	8	1	14	0
201110702809	2	227.49759	1	4	7	3	1	1	0	3	20	30	14	0	2	0	20	37	4	2005	1G1ZS54835F1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	3	9	1	12	0
201110702809	3	227.49759	1	4	7	3	1	1	0	3	20	30	14	0	2	0	2	405	14	2008	1J8GN28K98W2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	5	9	1	12	0
201110702905	1	218.60058	1	4	21	3	1	1	0	3	9	30	14	0	2	0	20	481	31	2002	1GNDU03E52D1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	83	8	1	14	0
201110702941	2	218.60058	1	4	21	3	1	1	0	3	15	18	14	0	3	0	37	32	4	1999	1HGCG6659XA0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110702954	2	223.85142	1	4	4	3	1	1	0	3	10	45	14	0	3	0	49	442	20	2005	5TDZA23C65S3	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110703046	2	223.466985	1	4	8	3	1	1	0	3	14	50	14	0	3	0	20	461	21	2002	1GCEG15W8211	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110703050	2	4.965933	1	2	8	3	1	1	1	3	9	22	14	0	2	0	49	46	4	2005	JTDKB22UX531	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	9	2	12	0
201110703208	2	223.463504	1	4	3	3	1	1	0	4	4	0	14	0	2	0	42	50	6	2006	4JGCB65E16A0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	11	9	4	12	0
201110703299	2	50.55502	1	5	7	3	1	1	0	4	1	0	14	0	2	0	35	39	4	1997	JN1CA21D9VM5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	9	1	12	0
201110703299	3	50.55502	1	5	7	3	1	1	0	4	1	0	14	0	2	0	12	461	21	2001	1FBNE31L71HB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	9	1	12	0
201110703363	2	224.814301	1	4	10	3	1	1	0	4	23	0	14	0	2	0	49	40	4	2002	4T1BE32K82U6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	9	4	12	0
201110703363	3	224.814301	1	4	10	3	1	1	0	4	23	0	14	0	2	0	35	39	4	2000	JN1CA31AXYT2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	9	4	12	0
201110703769	2	5.055502	1	1	7	3	1	1	0	4	19	30	14	0	2	0	13	13	4	2010	3LNHL2JC9AR6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	9	4	12	0
201110703769	3	5.055502	1	1	7	3	1	1	0	4	19	30	14	0	2	0	54	35	4	1997	JH4UA265XVC0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	9	4	12	0
201110703769	4	5.055502	1	1	7	3	1	1	0	4	19	30	14	0	2	0	13	14	6	2010	2LMDJ8JCXABJ	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	9	4	12	0
201110704056	2	218.60058	1	4	21	3	1	1	0	5	6	25	14	0	2	0	58	39	6	2005	JNRAS08W15X2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	8	1	14	0
201110704062	3	43.720116	1	5	21	3	1	2	0	5	16	37	12	6	2	0	12	401	14	1998	1FMYU22X1WUC	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	63	8	4	12	0
201110704092	2	99.632	1	6	1	3	1	1	0	4	4	0	14	0	2	0	37	31	4	2001	2HGES26701H5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	6	2	12	0
201110704092	3	99.632	1	6	1	3	1	1	0	4	4	0	14	0	2	0	54	38	3	2004	JH4DC54834S0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	98	6	2	12	0
