200710416444 2 0 2  915   57.52
200710416447 1 0 2  914  230.10
200710416447 2 0 2  914  230.10
200710416447 3 0 2  914  230.10
200710416451 1 0 2  915   57.52
200710416451 2 0 2  915   57.52
200710416452 1 3 2  915   57.52
200710416453 1 0 2  914  230.10
200710416455 1 0 2  614  246.40
200710416456 192 2  616   98.56
200710416458 1 0 2  616   98.56
200710416458 2 0 2  616   98.56
200710416460 1 0 2  611   49.28
200710416460 2 0 2  611   49.28
200710416460 3 0 2  611   49.28
200710416460 4 1 2  611   49.28
200710416465 1 0 2 1014  269.56
200710416469 1 0 2  416  107.77
200710416469 2 0 2  416  107.77
200710416471 1 0 2  215   54.29
200710416471 2 0 2  215   54.29
200710416491 1 0 2  614  246.40
200710416493 1 0 2  616   98.56
200710416497 1 0 2  611   49.28
200710416497 2 0 2  611   49.28
200710416498 1 3 2  616   98.56
200710416498 192 2  616   98.56
200710416501 1 0 2  615   49.28
200710416502 1 0 2  614  246.40
200710416503 1 0 2  616   98.56
200710416506 1 0 2  616   98.56
200710416506 2 0 2  616   98.56
200710416510 1 0 2  114  244.31
200710416510 2 0 2  114  244.31
200710416520 1 0 2  111   27.15
200710416520 2 0 2  111   27.15
200710416521 1 0 2  111   27.15
200710416528 1 0 2  314  244.31
200710416528 2 0 2  314  244.31
200710416531 1 0 2  316  108.58
200710416531 2 0 2  316  108.58
200710416533 1 3 2  313   27.15
200710416536 1 0 2  214  244.31
200710416538 1 0 2 1014  269.56
200710416538 2 0 2 1014  269.56
200710416541 1 0 2 1014  269.56
200710416549 1 0 2  415   53.89
200710416550 1 0 2  415   53.89
200710416550 2 0 2  415   53.89
200710416551 1 0 2  416  107.77
200710416551 2 0 2  416  107.77
200710416551 3 0 2  416  107.77
200710416552 1 0 2  414  269.43
200710416552 250 2  414  269.43
200710416560 1 0 2  911   57.52
200710416561 1 0 2  916  115.05
200710416561 2 0 2  916  115.05
200710416562 1 0 2  914  230.10
200710416567 1 0 2  916  115.05
200710416567 2 0 2  916  115.05
200710416568 1 0 2  914  230.10
200710416568 2 0 2  914  230.10
200710416569 1 0 2  915   57.52
200710416571 1 0 2  915   57.52
200710416571 2 0 2  915   57.52
200710416580 1 0 2  314  244.31
200710416580 2 0 2  314  244.31
200710416582 1 0 2  316  108.58
200710416582 2 0 2  316  108.58
200710416583 1 0 2  313   27.15
200710416587 1 0 2  115   54.29
200710416587 2 0 2  115   54.29
200710416589 1 0 2  114  244.31
200710416590 1 0 2  115   54.29
200710416590 2 0 2  115   54.29
200710416592 1 0 2  116  108.58
200710416602 1 0 2  115   54.29
200710416602 2 0 2  115   54.29
200710416602 3 0 2  115   54.29
200710416604 1 0 2  613   49.28
200710416604 2 0 2  613   49.28
200710416605 1 3 2  615   49.28
200710416609 1 0 2  614  246.40
200710416612 1 4 2 1014  269.56
200710416612 2 4 2 1014  269.56
200710416614 1 0 2 1012   89.85
200710416614 2 0 2 1012   89.85
200710416615 150 2 1016   89.85
200710416617 1 0 2 1014  269.56
200710416617 2 0 2 1014  269.56
200710416621 1 0 2  414  269.43
200710416621 2 0 2  414  269.43
200710416637 1 0 2  315   54.29
200710416637 2 0 2  315   54.29
200710416637 3 0 2  315   54.29
200710416643 1 0 2  313   27.15
200710416643 2 0 2  313   27.15
200710416643 3 0 2  313   27.15
200710416643 4 0 2  313   27.15
200710416645 1 0 2  313   27.15
200710416648 1 0 2  413   53.89
200710416653 1 0 2 1014  269.56
200710416653 2 0 2 1014  269.56
200710416657 1 0 2  216  108.58
200710416657 2 0 2  216  108.58
200710416679 1 0 2  114  244.31
200710416679 2 0 2  114  244.31
200710416680 150 2  116  108.58
200710416681 1 0 2  113   27.15
200710416687 1 0 2  113   27.15
